root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,Oct_clusters,DA_clusters,Unknown_clusters
720575940632674003,cell_class,AN,9845,400,0.25,0.01,0.01,0.814931437277806,0.10980192991366176,0.062163534789233116,0.0016251904520060945,0.004773996952767903,0.006399187404773997,0.0003047232097511427,True,False,False,False,False,False,False
720575940632674003,cell_class,AN,9845,400,0.25,0.01,0.05,0.814931437277806,0.10980192991366176,0.062163534789233116,0.0016251904520060945,0.004773996952767903,0.006399187404773997,0.0003047232097511427,False,False,False,False,False,False,False
720575940632674003,cell_class,AN,9845,400,0.25,0.01,0.1,0.814931437277806,0.10980192991366176,0.062163534789233116,0.0016251904520060945,0.004773996952767903,0.006399187404773997,0.0003047232097511427,False,False,False,False,False,False,False
720575940620252630,cell_class,AN,587,400,0.25,0.14285714285714285,0.01,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,True,True,True,False,,True,
720575940620252630,cell_class,AN,587,400,0.25,0.14285714285714285,0.05,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.14285714285714285,0.1,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.04,0.01,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,True,True,True,False,,True,
720575940620252630,cell_class,AN,587,400,0.25,0.04,0.05,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.04,0.1,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.02,0.01,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,True,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.02,0.05,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.02,0.1,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.01,0.01,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,True,True,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.01,0.05,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,False,False,False,,False,
720575940620252630,cell_class,AN,587,400,0.25,0.01,0.1,0.034071550255536626,0.8960817717206133,0.028960817717206135,0.0,0.02385008517887564,0.017035775127768313,0.0,False,False,False,False,,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.14285714285714285,0.01,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,True,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.14285714285714285,0.05,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.14285714285714285,0.1,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.04,0.01,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.04,0.05,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.04,0.1,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.02,0.01,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.02,0.05,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.02,0.1,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,False,False,False,False,False,
720575940632648868,cell_class,AN,5933,400,0.25,0.01,0.01,0.008595988538681949,0.9485926175627845,0.004382268666779033,0.003708073487274566,0.02056295297488623,0.01398954997471768,0.00016854879487611664,False,True,False,False,False,False,
