root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters
720575940623062749,flow,afferent,519,400,0.25,0.04,0.01,0.02697495183044316,0.3988439306358382,0.023121387283236993,0.005780346820809248,0.4836223506743738,0.06165703275529865,0.0,True,True,True,True,True,False
720575940635094426,flow,afferent,604,400,0.25,0.14285714285714285,0.01,0.013245033112582781,0.2814569536423841,0.0033112582781456954,0.0016556291390728477,0.543046357615894,0.15728476821192053,0.0,False,True,True,True,False,
720575940635094426,flow,afferent,604,400,0.25,0.04,0.01,0.013245033112582781,0.2814569536423841,0.0033112582781456954,0.0016556291390728477,0.543046357615894,0.15728476821192053,0.0,False,True,True,True,False,
720575940636741488,flow,afferent,450,400,0.25,0.14285714285714285,0.01,0.02,0.24444444444444444,0.0044444444444444444,0.013333333333333334,0.5355555555555556,0.18222222222222223,0.0,True,True,True,True,False,True
720575940636741488,flow,afferent,450,400,0.25,0.04,0.01,0.02,0.24444444444444444,0.0044444444444444444,0.013333333333333334,0.5355555555555556,0.18222222222222223,0.0,True,True,True,True,False,True
720575940620932717,flow,afferent,455,400,0.25,0.14285714285714285,0.01,0.01098901098901099,0.26373626373626374,0.008791208791208791,0.01978021978021978,0.5736263736263736,0.12307692307692308,0.0,False,True,True,True,False,True
720575940620932717,flow,afferent,455,400,0.25,0.04,0.01,0.01098901098901099,0.26373626373626374,0.008791208791208791,0.01978021978021978,0.5736263736263736,0.12307692307692308,0.0,False,True,True,True,False,True
720575940638576829,flow,afferent,463,400,0.25,0.14285714285714285,0.01,0.008639308855291577,0.3045356371490281,0.0021598272138228943,0.004319654427645789,0.6220302375809935,0.058315334773218146,0.0,False,True,True,True,,False
720575940638576829,flow,afferent,463,400,0.25,0.04,0.01,0.008639308855291577,0.3045356371490281,0.0021598272138228943,0.004319654427645789,0.6220302375809935,0.058315334773218146,0.0,False,True,True,True,,False
720575940613437359,flow,afferent,441,400,0.25,0.14285714285714285,0.01,0.0045351473922902496,0.3900226757369615,0.0,0.0,0.4671201814058957,0.1383219954648526,0.0,False,True,True,True,,
720575940613437359,flow,afferent,441,400,0.25,0.04,0.01,0.0045351473922902496,0.3900226757369615,0.0,0.0,0.4671201814058957,0.1383219954648526,0.0,False,True,True,True,,
720575940631295116,flow,afferent,473,400,0.25,0.14285714285714285,0.01,0.016913319238900635,0.4080338266384778,0.004228329809725159,0.010570824524312896,0.47357293868921774,0.08668076109936575,0.0,True,True,True,True,False,True
720575940631295116,flow,afferent,473,400,0.25,0.04,0.01,0.016913319238900635,0.4080338266384778,0.004228329809725159,0.010570824524312896,0.47357293868921774,0.08668076109936575,0.0,True,True,True,True,False,False
720575940630612280,flow,afferent,500,400,0.25,0.14285714285714285,0.01,0.034,0.298,0.004,0.0,0.468,0.196,0.0,True,True,True,True,False,
720575940630612280,flow,afferent,500,400,0.25,0.04,0.01,0.034,0.298,0.004,0.0,0.468,0.196,0.0,True,True,True,True,False,
720575940622099294,flow,afferent,427,400,0.25,0.14285714285714285,0.01,0.00702576112412178,0.19672131147540983,0.0,0.0117096018735363,0.6697892271662763,0.11475409836065574,0.0,False,True,True,True,,True
720575940622099294,flow,afferent,427,400,0.25,0.04,0.01,0.00702576112412178,0.19672131147540983,0.0,0.0117096018735363,0.6697892271662763,0.11475409836065574,0.0,False,True,True,True,,True
720575940616203067,flow,afferent,508,400,0.25,0.14285714285714285,0.01,0.00984251968503937,0.25393700787401574,0.0,0.015748031496062992,0.6240157480314961,0.09448818897637795,0.001968503937007874,False,True,True,True,,True
720575940616203067,flow,afferent,508,400,0.25,0.04,0.01,0.00984251968503937,0.25393700787401574,0.0,0.015748031496062992,0.6240157480314961,0.09448818897637795,0.001968503937007874,False,True,True,True,,True
720575940655010209,flow,afferent,448,400,0.25,0.14285714285714285,0.01,0.011160714285714286,0.296875,0.004464285714285714,0.0,0.49776785714285715,0.18973214285714285,0.0,False,True,True,True,False,
720575940655010209,flow,afferent,448,400,0.25,0.04,0.01,0.011160714285714286,0.296875,0.004464285714285714,0.0,0.49776785714285715,0.18973214285714285,0.0,False,True,True,True,False,
720575940628677626,flow,afferent,616,400,0.25,0.14285714285714285,0.01,0.021103896103896104,0.3068181818181818,0.0016233766233766235,0.012987012987012988,0.5211038961038961,0.13636363636363635,0.0,False,True,True,True,,False
720575940628677626,flow,afferent,616,400,0.25,0.04,0.01,0.021103896103896104,0.3068181818181818,0.0016233766233766235,0.012987012987012988,0.5211038961038961,0.13636363636363635,0.0,False,True,True,True,,False
720575940622440840,flow,afferent,502,400,0.25,0.14285714285714285,0.01,0.017928286852589643,0.3844621513944223,0.0,0.0,0.4581673306772908,0.1394422310756972,0.0,False,True,True,True,,
720575940622440840,flow,afferent,502,400,0.25,0.04,0.01,0.017928286852589643,0.3844621513944223,0.0,0.0,0.4581673306772908,0.1394422310756972,0.0,False,True,True,True,,
720575940654194337,flow,afferent,491,400,0.25,0.14285714285714285,0.01,0.002036659877800407,0.24236252545824846,0.010183299389002037,0.010183299389002037,0.5926680244399185,0.1425661914460285,0.0,,True,True,True,True,True
720575940654194337,flow,afferent,491,400,0.25,0.04,0.01,0.002036659877800407,0.24236252545824846,0.010183299389002037,0.010183299389002037,0.5926680244399185,0.1425661914460285,0.0,,True,True,True,True,False
720575940621325338,flow,afferent,486,400,0.25,0.14285714285714285,0.01,0.018518518518518517,0.40329218106995884,0.00205761316872428,0.01646090534979424,0.44650205761316875,0.11316872427983539,0.0,True,True,True,True,,True
