root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,ACh_clusters,Ser_clusters,GABA_clusters,Oct_clusters,DA_clusters,Glut_clusters,Unknown_clusters
720575940644683031,flow,afferent,411,400,0.25,0.14285714285714285,0.01,0.0,0.6739659367396593,0.0,0.0,0.3260340632603406,0.0,0.0,True,True,,,,,
720575940644683031,flow,afferent,411,400,0.25,0.04,0.01,0.0,0.6739659367396593,0.0,0.0,0.3260340632603406,0.0,0.0,True,True,,,,,
720575940619243691,flow,afferent,872,400,0.25,0.14285714285714285,0.01,0.020642201834862386,0.5676605504587156,0.0,0.0045871559633027525,0.2889908256880734,0.11811926605504587,0.0,True,True,False,False,True,,
720575940619243691,flow,afferent,872,400,0.25,0.04,0.01,0.020642201834862386,0.5676605504587156,0.0,0.0045871559633027525,0.2889908256880734,0.11811926605504587,0.0,True,True,False,False,True,,
720575940644028452,flow,afferent,408,400,0.25,0.14285714285714285,0.01,0.00980392156862745,0.20098039215686275,0.0024509803921568627,0.022058823529411766,0.678921568627451,0.0857843137254902,0.0,True,True,False,False,True,,
720575940644028452,flow,afferent,408,400,0.25,0.04,0.01,0.00980392156862745,0.20098039215686275,0.0024509803921568627,0.022058823529411766,0.678921568627451,0.0857843137254902,0.0,True,True,False,False,True,,
720575940619331163,flow,afferent,633,400,0.25,0.14285714285714285,0.01,0.03949447077409163,0.8530805687203792,0.0,0.0,0.0679304897314376,0.03949447077409163,0.0,True,True,True,,True,,
720575940619331163,flow,afferent,633,400,0.25,0.04,0.01,0.03949447077409163,0.8530805687203792,0.0,0.0,0.0679304897314376,0.03949447077409163,0.0,True,True,True,,True,,
720575940617899584,flow,afferent,824,400,0.25,0.14285714285714285,0.01,0.07524271844660194,0.8228155339805825,0.0024271844660194173,0.0,0.0970873786407767,0.0024271844660194173,0.0,True,True,True,,False,False,
720575940617899584,flow,afferent,824,400,0.25,0.04,0.01,0.07524271844660194,0.8228155339805825,0.0024271844660194173,0.0,0.0970873786407767,0.0024271844660194173,0.0,True,True,True,,False,False,
720575940627219272,flow,afferent,552,400,0.25,0.14285714285714285,0.01,0.11231884057971014,0.5307971014492754,0.05434782608695652,0.0036231884057971015,0.2898550724637681,0.007246376811594203,0.0018115942028985507,True,True,True,False,False,True,
720575940627219272,flow,afferent,552,400,0.25,0.04,0.01,0.11231884057971014,0.5307971014492754,0.05434782608695652,0.0036231884057971015,0.2898550724637681,0.007246376811594203,0.0018115942028985507,True,True,True,False,False,True,
720575940625032548,flow,afferent,3318,400,0.25,0.14285714285714285,0.01,0.0045207956600361665,0.9162145871006631,0.0024110910186859553,0.0018083182640144665,0.04972875226039783,0.025015069318866788,0.0003013863773357444,True,True,False,False,True,False,
