root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters,Unknown_clusters
720575940632517028,flow,afferent,3806,400,0.25,0.14285714285714285,0.01,0.014450867052023121,0.5509721492380452,0.01234892275354703,0.0021019442984760903,0.41093011035207566,0.009196006305832895,0.0,False,True,True,False,False,False,
720575940632517028,flow,afferent,3806,400,0.25,0.04,0.01,0.014450867052023121,0.5509721492380452,0.01234892275354703,0.0021019442984760903,0.41093011035207566,0.009196006305832895,0.0,False,True,True,False,False,False,
720575940610850965,flow,afferent,1568,400,0.25,0.14285714285714285,0.01,0.011479591836734694,0.9693877551020408,0.003826530612244898,0.0006377551020408163,0.012755102040816327,0.001913265306122449,0.0,False,True,False,False,False,,
720575940610850965,flow,afferent,1568,400,0.25,0.04,0.01,0.011479591836734694,0.9693877551020408,0.003826530612244898,0.0006377551020408163,0.012755102040816327,0.001913265306122449,0.0,False,True,False,False,False,,
720575940629420135,flow,afferent,651,400,0.25,0.14285714285714285,0.01,0.0030721966205837174,0.19969278033794163,0.01228878648233487,0.0,0.7772657450076805,0.007680491551459293,0.0,False,True,True,False,True,,
720575940629420135,flow,afferent,651,400,0.25,0.04,0.01,0.0030721966205837174,0.19969278033794163,0.01228878648233487,0.0,0.7772657450076805,0.007680491551459293,0.0,False,True,True,False,True,,
720575940634038041,flow,afferent,4369,400,0.25,0.14285714285714285,0.01,0.008239871824216068,0.8390936140993362,0.04119935912108034,0.0073243305104142824,0.09246967269398032,0.010757610437170977,0.0009155413138017853,False,True,True,False,True,False,False
720575940634038041,flow,afferent,4369,400,0.25,0.04,0.01,0.008239871824216068,0.8390936140993362,0.04119935912108034,0.0073243305104142824,0.09246967269398032,0.010757610437170977,0.0009155413138017853,False,True,True,False,False,False,False
720575940627803720,flow,afferent,3047,400,0.25,0.14285714285714285,0.01,0.6498194945848376,0.18017722349852314,0.1545782737118477,0.0013127666557269445,0.006563833278634723,0.007220216606498195,0.0003281916639317361,True,True,False,False,True,False,
720575940627803720,flow,afferent,3047,400,0.25,0.04,0.01,0.6498194945848376,0.18017722349852314,0.1545782737118477,0.0013127666557269445,0.006563833278634723,0.007220216606498195,0.0003281916639317361,True,True,False,False,True,False,
720575940608662318,flow,afferent,12502,400,0.25,0.14285714285714285,0.01,0.009918413053911375,0.9280115181570948,0.014877619580867061,0.002399616061430171,0.024076147816349383,0.020316749320108782,0.00039993601023836185,False,True,True,True,True,False,False
720575940608662318,flow,afferent,12502,400,0.25,0.04,0.01,0.009918413053911375,0.9280115181570948,0.014877619580867061,0.002399616061430171,0.024076147816349383,0.020316749320108782,0.00039993601023836185,False,True,False,False,False,False,False
720575940621591477,flow,afferent,3947,400,0.25,0.14285714285714285,0.01,0.05117810995692931,0.13225234355206486,0.7960476311122372,0.0032936407398023817,0.011147707119331137,0.005573853559665568,0.0005067139599695972,True,True,False,False,True,False,False
720575940621591477,flow,afferent,3947,400,0.25,0.04,0.01,0.05117810995692931,0.13225234355206486,0.7960476311122372,0.0032936407398023817,0.011147707119331137,0.005573853559665568,0.0005067139599695972,False,True,False,False,True,False,False
720575940625480394,flow,afferent,7958,400,0.25,0.14285714285714285,0.01,0.009424478512188993,0.9538828851470219,0.0077909022367429,0.0012565971349585323,0.018094998743402865,0.009550138225684845,0.0,False,True,False,False,False,False,
720575940625480394,flow,afferent,7958,400,0.25,0.04,0.01,0.009424478512188993,0.9538828851470219,0.0077909022367429,0.0012565971349585323,0.018094998743402865,0.009550138225684845,0.0,False,True,False,False,False,False,
720575940613693469,flow,afferent,7865,400,0.25,0.14285714285714285,0.01,0.859504132231405,0.05886840432294978,0.07221869040050859,0.00101716465352829,0.004577240940877305,0.003814367450731087,0.0,True,True,False,False,True,False,
720575940613693469,flow,afferent,7865,400,0.25,0.04,0.01,0.859504132231405,0.05886840432294978,0.07221869040050859,0.00101716465352829,0.004577240940877305,0.003814367450731087,0.0,True,False,False,False,True,False,
720575940621147998,flow,afferent,5083,400,0.25,0.14285714285714285,0.01,0.461735195750541,0.5199685225260673,0.004524886877828055,0.0021640763328742867,0.008459571119417668,0.0031477473932716897,0.0,True,True,False,False,False,False,
720575940621147998,flow,afferent,5083,400,0.25,0.04,0.01,0.461735195750541,0.5199685225260673,0.004524886877828055,0.0021640763328742867,0.008459571119417668,0.0031477473932716897,0.0,True,True,False,False,False,False,
720575940615309106,flow,afferent,4502,400,0.25,0.14285714285714285,0.01,0.006885828520657486,0.9049311417147934,0.03531763660595291,0.0013327410039982231,0.023989338071968014,0.027099067081297203,0.000444247001332741,False,True,False,True,True,False,False
720575940615309106,flow,afferent,4502,400,0.25,0.04,0.01,0.006885828520657486,0.9049311417147934,0.03531763660595291,0.0013327410039982231,0.023989338071968014,0.027099067081297203,0.000444247001332741,False,True,False,False,False,False,False
720575940616427357,flow,afferent,7772,400,0.25,0.14285714285714285,0.01,0.01788471435923829,0.7999227997941328,0.12969634585692227,0.0023160061760164694,0.012609366958311889,0.03731343283582089,0.0002573340195573855,True,True,False,True,True,False,False
720575940616427357,flow,afferent,7772,400,0.25,0.04,0.01,0.01788471435923829,0.7999227997941328,0.12969634585692227,0.0023160061760164694,0.012609366958311889,0.03731343283582089,0.0002573340195573855,False,True,False,True,True,False,False
720575940638453437,flow,afferent,3367,400,0.25,0.14285714285714285,0.01,0.004455004455004455,0.7918027918027918,0.13038313038313037,0.001485001485001485,0.03623403623403623,0.03474903474903475,0.000891000891000891,False,True,False,True,True,False,False
720575940638453437,flow,afferent,3367,400,0.25,0.04,0.01,0.004455004455004455,0.7918027918027918,0.13038313038313037,0.001485001485001485,0.03623403623403623,0.03474903474903475,0.000891000891000891,False,True,False,False,True,False,False
720575940623982323,flow,afferent,10780,400,0.25,0.14285714285714285,0.01,0.01085343228200371,0.9371057513914657,0.006586270871985158,0.0026901669758812616,0.01697588126159555,0.02541743970315399,0.00037105751391465676,False,True,False,True,False,False,False
720575940623982323,flow,afferent,10780,400,0.25,0.04,0.01,0.01085343228200371,0.9371057513914657,0.006586270871985158,0.0026901669758812616,0.01697588126159555,0.02541743970315399,0.00037105751391465676,False,True,False,False,False,False,False
720575940613772317,flow,afferent,1260,400,0.25,0.14285714285714285,0.01,0.0,0.9682539682539683,0.007936507936507936,0.0031746031746031746,0.014285714285714285,0.006349206349206349,0.0,,True,False,False,False,False,
720575940613772317,flow,afferent,1260,400,0.25,0.04,0.01,0.0,0.9682539682539683,0.007936507936507936,0.0031746031746031746,0.014285714285714285,0.006349206349206349,0.0,,True,False,False,False,False,
720575940613772829,flow,afferent,1091,400,0.25,0.14285714285714285,0.01,0.00458295142071494,0.9578368469294225,0.0036663611365719525,0.0018331805682859762,0.02383134738771769,0.008249312557286892,0.0,False,True,True,False,False,False,
720575940613772829,flow,afferent,1091,400,0.25,0.04,0.01,0.00458295142071494,0.9578368469294225,0.0036663611365719525,0.0018331805682859762,0.02383134738771769,0.008249312557286892,0.0,False,True,False,False,False,False,
720575940630798378,flow,afferent,10509,400,0.25,0.14285714285714285,0.01,0.027880864021315063,0.9470929679322485,0.004948139689789704,0.0014273479874393378,0.013417071081929775,0.005233609287277572,0.0,True,True,False,False,False,False,
720575940630798378,flow,afferent,10509,400,0.25,0.04,0.01,0.027880864021315063,0.9470929679322485,0.004948139689789704,0.0014273479874393378,0.013417071081929775,0.005233609287277572,0.0,False,True,False,False,False,False,
720575940639205821,flow,afferent,7684,400,0.25,0.14285714285714285,0.01,0.018479958355023425,0.9282925559604372,0.0019521082769390942,0.002732951587714732,0.036309213951067155,0.011842790213430505,0.00039042165538781884,True,True,True,False,False,False,False
720575940639205821,flow,afferent,7684,400,0.25,0.04,0.01,0.018479958355023425,0.9282925559604372,0.0019521082769390942,0.002732951587714732,0.036309213951067155,0.011842790213430505,0.00039042165538781884,True,True,False,False,False,False,False
720575940618238635,flow,afferent,12103,400,0.25,0.14285714285714285,0.01,0.03081880525489548,0.9085350739486078,0.01801206312484508,0.001735106998264893,0.012393621416177808,0.02834008097165992,0.00016524828554903743,True,True,False,True,True,False,False
720575940618238635,flow,afferent,12103,400,0.25,0.04,0.01,0.03081880525489548,0.9085350739486078,0.01801206312484508,0.001735106998264893,0.012393621416177808,0.02834008097165992,0.00016524828554903743,True,True,False,False,False,False,False
720575940631095289,flow,afferent,8352,400,0.25,0.14285714285714285,0.01,0.01221264367816092,0.9274425287356322,0.010177203065134099,0.002514367816091954,0.017959770114942528,0.029454022988505746,0.00023946360153256704,False,True,False,True,False,False,False
720575940631095289,flow,afferent,8352,400,0.25,0.04,0.01,0.01221264367816092,0.9274425287356322,0.010177203065134099,0.002514367816091954,0.017959770114942528,0.029454022988505746,0.00023946360153256704,False,True,False,False,False,False,False
720575940630300434,flow,afferent,4415,400,0.25,0.14285714285714285,0.01,0.0027180067950169874,0.9560588901472253,0.0015855039637599094,0.001812004530011325,0.018346545866364666,0.01925254813137033,0.00022650056625141563,False,True,False,False,False,False,
720575940630300434,flow,afferent,4415,400,0.25,0.04,0.01,0.0027180067950169874,0.9560588901472253,0.0015855039637599094,0.001812004530011325,0.018346545866364666,0.01925254813137033,0.00022650056625141563,False,True,False,False,False,False,
720575940618014528,flow,afferent,12402,400,0.25,0.14285714285714285,0.01,0.8068859861312692,0.11167553620383809,0.06611836800516045,0.0016932752781809385,0.008385744234800839,0.00516045799064667,8.063215610385422e-05,True,True,False,False,True,False,
720575940618014528,flow,afferent,12402,400,0.25,0.04,0.01,0.8068859861312692,0.11167553620383809,0.06611836800516045,0.0016932752781809385,0.008385744234800839,0.00516045799064667,8.063215610385422e-05,True,True,False,False,True,False,
720575940638155497,flow,afferent,1482,400,0.25,0.14285714285714285,0.01,0.101889338731444,0.05195681511470985,0.7165991902834008,0.004048582995951417,0.09716599190283401,0.02834008097165992,0.0,True,True,True,True,True,False,
720575940638155497,flow,afferent,1482,400,0.25,0.04,0.01,0.101889338731444,0.05195681511470985,0.7165991902834008,0.004048582995951417,0.09716599190283401,0.02834008097165992,0.0,True,True,True,False,True,False,
720575940628083516,flow,afferent,9957,400,0.25,0.14285714285714285,0.01,0.02189414482273777,0.8628100833584413,0.06728934417997388,0.0017073415687456062,0.008436275986742995,0.03766194636938837,0.00020086371397007131,True,True,False,True,True,False,False
720575940628083516,flow,afferent,9957,400,0.25,0.04,0.01,0.02189414482273777,0.8628100833584413,0.06728934417997388,0.0017073415687456062,0.008436275986742995,0.03766194636938837,0.00020086371397007131,False,True,False,True,True,False,False
720575940620245718,flow,afferent,1040,400,0.25,0.14285714285714285,0.01,0.04423076923076923,0.8365384615384616,0.08653846153846154,0.0009615384615384616,0.025961538461538463,0.0057692307692307696,0.0,True,True,True,False,True,,
720575940620245718,flow,afferent,1040,400,0.25,0.04,0.01,0.04423076923076923,0.8365384615384616,0.08653846153846154,0.0009615384615384616,0.025961538461538463,0.0057692307692307696,0.0,True,True,False,False,True,,
720575940623008550,flow,afferent,1199,400,0.25,0.14285714285714285,0.01,0.3327773144286906,0.1501251042535446,0.3494578815679733,0.003336113427856547,0.0658882402001668,0.09841534612176814,0.0,True,True,True,True,True,False,
720575940623008550,flow,afferent,1199,400,0.25,0.04,0.01,0.3327773144286906,0.1501251042535446,0.3494578815679733,0.003336113427856547,0.0658882402001668,0.09841534612176814,0.0,True,True,True,True,True,False,
720575940617871394,flow,afferent,3370,400,0.25,0.14285714285714285,0.01,0.5252225519287834,0.32967359050445105,0.12403560830860534,0.003857566765578635,0.016023738872403562,0.0011869436201780415,0.0,True,True,False,False,True,False,
720575940617871394,flow,afferent,3370,400,0.25,0.04,0.01,0.5252225519287834,0.32967359050445105,0.12403560830860534,0.003857566765578635,0.016023738872403562,0.0011869436201780415,0.0,True,True,False,False,True,False,
720575940615411161,flow,afferent,1882,400,0.25,0.14285714285714285,0.01,0.03825717321997875,0.06110520722635494,0.09298618490967056,0.07438894792773645,0.5712008501594049,0.1567481402763018,0.005313496280552604,True,True,True,True,True,True,False
720575940615411161,flow,afferent,1882,400,0.25,0.04,0.01,0.03825717321997875,0.06110520722635494,0.09298618490967056,0.07438894792773645,0.5712008501594049,0.1567481402763018,0.005313496280552604,False,True,True,True,True,True,False
720575940632847661,flow,afferent,44711,400,0.25,0.14285714285714285,0.01,0.03451052313748294,0.04406074567779741,0.8127082820782358,0.003533805998523853,0.09149873632886761,0.01339715058934043,0.0002907561897519626,True,True,True,False,True,False,False
720575940632847661,flow,afferent,44711,400,0.25,0.04,0.01,0.03451052313748294,0.04406074567779741,0.8127082820782358,0.003533805998523853,0.09149873632886761,0.01339715058934043,0.0002907561897519626,False,False,True,False,True,False,False
720575940630521931,flow,afferent,4218,400,0.25,0.14285714285714285,0.01,0.008060692271218587,0.9295874822190612,0.03058321479374111,0.003319108582266477,0.01588430535798957,0.012565196775723092,0.0,False,True,False,False,True,False,
720575940630521931,flow,afferent,4218,400,0.25,0.04,0.01,0.008060692271218587,0.9295874822190612,0.03058321479374111,0.003319108582266477,0.01588430535798957,0.012565196775723092,0.0,False,True,False,False,False,False,
720575940617625413,flow,afferent,1749,400,0.25,0.14285714285714285,0.01,0.017724413950829045,0.9359634076615209,0.005717552887364208,0.0005717552887364208,0.022870211549456832,0.017152658662092625,0.0,True,True,False,False,False,,
720575940617625413,flow,afferent,1749,400,0.25,0.04,0.01,0.017724413950829045,0.9359634076615209,0.005717552887364208,0.0005717552887364208,0.022870211549456832,0.017152658662092625,0.0,False,True,False,False,False,,
720575940610275192,flow,afferent,5400,400,0.25,0.14285714285714285,0.01,0.018333333333333333,0.9464814814814815,0.009814814814814814,0.002962962962962963,0.013518518518518518,0.008703703703703703,0.00018518518518518518,True,True,False,False,False,False,
720575940610275192,flow,afferent,5400,400,0.25,0.04,0.01,0.018333333333333333,0.9464814814814815,0.009814814814814814,0.002962962962962963,0.013518518518518518,0.008703703703703703,0.00018518518518518518,False,True,False,False,False,False,
720575940608655883,flow,afferent,769,400,0.25,0.14285714285714285,0.01,0.002600780234070221,0.8608582574772432,0.0247074122236671,0.007802340702210663,0.09492847854356307,0.009102730819245773,0.0,False,True,True,False,True,False,
720575940608655883,flow,afferent,769,400,0.25,0.04,0.01,0.002600780234070221,0.8608582574772432,0.0247074122236671,0.007802340702210663,0.09492847854356307,0.009102730819245773,0.0,False,True,True,False,True,False,
720575940623743892,flow,afferent,4594,400,0.25,0.14285714285714285,0.01,0.2507618632999565,0.16020896821941663,0.544841097083152,0.00544188071397475,0.02720940356987375,0.0108837614279495,0.00065302568567697,True,True,True,False,True,False,False
720575940623743892,flow,afferent,4594,400,0.25,0.04,0.01,0.2507618632999565,0.16020896821941663,0.544841097083152,0.00544188071397475,0.02720940356987375,0.0108837614279495,0.00065302568567697,True,True,False,False,True,False,False
720575940627372165,flow,afferent,1920,400,0.25,0.14285714285714285,0.01,0.005208333333333333,0.9411458333333333,0.0234375,0.0020833333333333333,0.0140625,0.0140625,0.0,False,True,False,True,True,False,
720575940627372165,flow,afferent,1920,400,0.25,0.04,0.01,0.005208333333333333,0.9411458333333333,0.0234375,0.0020833333333333333,0.0140625,0.0140625,0.0,False,True,False,False,False,False,
720575940621553348,flow,afferent,8909,400,0.25,0.14285714285714285,0.01,0.019194073408912337,0.8917948142327983,0.01638792232573802,0.002581658996520373,0.04254125042092266,0.026939050398473455,0.0005612302166348636,False,True,True,True,False,False,False
720575940621553348,flow,afferent,8909,400,0.25,0.04,0.01,0.019194073408912337,0.8917948142327983,0.01638792232573802,0.002581658996520373,0.04254125042092266,0.026939050398473455,0.0005612302166348636,False,True,False,False,False,False,False
720575940622707592,flow,afferent,3012,400,0.25,0.14285714285714285,0.01,0.7390438247011952,0.08100929614873838,0.12782204515272244,0.00298804780876494,0.027888446215139442,0.02091633466135458,0.00033200531208499334,True,True,True,False,True,False,
720575940622707592,flow,afferent,3012,400,0.25,0.04,0.01,0.7390438247011952,0.08100929614873838,0.12782204515272244,0.00298804780876494,0.027888446215139442,0.02091633466135458,0.00033200531208499334,True,True,False,False,True,False,
720575940629312768,flow,afferent,3037,400,0.25,0.14285714285714285,0.01,0.004280540006585446,0.8057293381626606,0.16924596641422457,0.0,0.008561080013170892,0.012183075403358577,0.0,False,True,False,False,True,,
720575940629312768,flow,afferent,3037,400,0.25,0.04,0.01,0.004280540006585446,0.8057293381626606,0.16924596641422457,0.0,0.008561080013170892,0.012183075403358577,0.0,False,True,False,False,True,,
720575940619973134,flow,afferent,969,400,0.25,0.14285714285714285,0.01,0.6790505675954592,0.11661506707946337,0.15789473684210525,0.0020639834881320948,0.021671826625386997,0.021671826625386997,0.0010319917440660474,True,True,False,True,True,False,
720575940619973134,flow,afferent,969,400,0.25,0.04,0.01,0.6790505675954592,0.11661506707946337,0.15789473684210525,0.0020639834881320948,0.021671826625386997,0.021671826625386997,0.0010319917440660474,True,True,False,True,True,False,
720575940612409059,flow,afferent,7643,400,0.25,0.14285714285714285,0.01,0.045531859217584715,0.880020934188146,0.02211173622922936,0.00549522438832919,0.03951328012560513,0.006541933795629988,0.0007850320554755986,True,True,True,False,False,False,False
720575940612409059,flow,afferent,7643,400,0.25,0.04,0.01,0.045531859217584715,0.880020934188146,0.02211173622922936,0.00549522438832919,0.03951328012560513,0.006541933795629988,0.0007850320554755986,True,True,False,False,False,False,False
720575940620833901,flow,afferent,14080,400,0.25,0.14285714285714285,0.01,0.013920454545454545,0.43132102272727274,0.030965909090909093,0.03579545454545455,0.46079545454545456,0.026491477272727274,0.0007102272727272727,False,True,True,True,True,True,False
720575940620833901,flow,afferent,14080,400,0.25,0.04,0.01,0.013920454545454545,0.43132102272727274,0.030965909090909093,0.03579545454545455,0.46079545454545456,0.026491477272727274,0.0007102272727272727,False,True,True,False,False,True,False
720575940638700707,flow,afferent,6080,400,0.25,0.14285714285714285,0.01,0.011842105263157895,0.8194078947368421,0.13700657894736842,0.0008223684210526315,0.018256578947368422,0.0125,0.0001644736842105263,False,True,True,False,True,False,
720575940638700707,flow,afferent,6080,400,0.25,0.04,0.01,0.011842105263157895,0.8194078947368421,0.13700657894736842,0.0008223684210526315,0.018256578947368422,0.0125,0.0001644736842105263,False,True,False,False,True,False,
720575940633416604,flow,afferent,7012,400,0.25,0.14285714285714285,0.01,0.00912721049629207,0.9505134055904164,0.021819737592698233,0.0005704506560182544,0.008414147176269253,0.009555048488305762,0.0,False,True,False,False,True,False,
720575940633416604,flow,afferent,7012,400,0.25,0.04,0.01,0.00912721049629207,0.9505134055904164,0.021819737592698233,0.0005704506560182544,0.008414147176269253,0.009555048488305762,0.0,False,True,False,False,False,False,
720575940645007748,flow,afferent,665,400,0.25,0.14285714285714285,0.01,0.10977443609022557,0.18045112781954886,0.6165413533834586,0.0,0.055639097744360905,0.03759398496240601,0.0,True,True,True,True,True,,
720575940645007748,flow,afferent,665,400,0.25,0.04,0.01,0.10977443609022557,0.18045112781954886,0.6165413533834586,0.0,0.055639097744360905,0.03759398496240601,0.0,True,True,True,True,True,,
